content,date_posted
You're a total loser. Nobody likes you.,15-01-2025
Great video! Subscribed for more content!,16-01-2025
"Just shut up already, you're embarrassing.",17-01-2025
I appreciate your honesty in this post.,18-01-2025
You're the dumbest person Iâ??ve ever seen.,19-01-2025
I love how you explain things. Very helpful!,20-01-2025
Your opinion is trash and so are you.,21-01-2025
Keep doing what you're doing. Much love!,22-01-2025
This is the worst thing I've seen all year.,23-01-2025
Awesome tutorial. Helped a lot.,24-01-2025
"You're so ugly, I feel bad for your parents.",25-01-2025
Good vibes only. Thanks for the support!,26-01-2025
"Get lost, nobody wants you here.",27-01-2025
This is total garbage. Just delete yourself.,29-01-2025
Amazing performance. Very proud of you!,30-01-2025
You're pathetic and useless.,01-02-2025
Well said! I totally agree with your point.,02-02-2025
Nobody cares what you think.,03-02-2025
Thanks for sharing this resource!,04-02-2025
"You're so dumb, it's honestly impressive.",05-02-2025
Loved this! Sending good energy your way.,06-02-2025
Everything about this is stupid.,07-02-2025
So thoughtful. This really made my day!,08-02-2025
Don't ever post again. Just stop.,09-02-2025
Beautiful message. Thanks for spreading love.,10-02-2025
You're the reason this world is broken.,11-02-2025
You matter. Don't let anyone tell you otherwise.,12-02-2025
This post is so pointless. You're wasting space.,13-02-2025
Really uplifting words â?? I needed this today!,14-02-2025
You're such a worthless person.,01-06-2025
That was a brilliant performance. Well done!,02-06-2025
"Just disappear already, nobody cares.",03-06-2025
I absolutely loved your content. Keep it up!,04-06-2025
You're ugly and stupid.,05-06-2025
This post gave me hope. Thank you for sharing!,06-06-2025
Stop posting trash like this. You're disgusting.,07-06-2025
So inspiring! You made my day.,08-06-2025
You're a failure and you always will be.,09-06-2025
"This is so helpful, thank you!",10-06-2025
Just delete yourself already.,11-06-2025
You?re amazing. Keep spreading good vibes!,12-06-2025
What an idiot. I can't believe people follow you.,13-06-2025
Great insight! I learned something new today.,14-06-2025
Why do you even try? Just give up.,15-06-2025
This made me smile. Thanks for the positivity!,16-06-2025
Truly motivational words. Bless you!,17-06-2025
You're dumb as a rock. Pathetic.,18-06-2025
Loved this reel! Subscribed instantly.,19-06-2025
Appreciate the support and guidance. You rock!,20-06-2025
